SiteID,StudyID,Adjusted ESP with Coil (IWC),Furnace Fan Est. Airflow (CFM),Adjusted ESP with Coil (IWC) - All values,Furnace Fan Est. Airflow (CFM) All Values,Calculated alpha,Report ,Household Type,ESP Includes COIL,ESP Includes FILTER,Test Mode,Static Pressure (pascal),Static Pressure (in w. c.),Area (Sqft),Heated Floor Area (sqft),Heating Equipment Type,Cooling Equipment Type,State/Location,Comment,Air Handler Flow (CFM),Air Handler Flow (in w.c.),Pre-Retrofit (in w.c.),Post-Retrofit (in w.c.),Equipment Airflow Check (CFM),Capacity (Btu/hr),Total CFM,Filter pressure drop (Pa),Filter pressure drop (in w.c.),AC coil pressure drop (in w.c.),Supply plenum pressure wrt basement,ESP Post Coil (Pa),ESP Post Coil (in w.c.),a = P/Q2,AC tonnage,Furnace Location,"Location 1=attic, 2=basement, 3=closet, 4=outside, 5=garage",HOUSE_AGE,Construction,DUCTWORK_NEW,FURNACE_INSTALLED_WAC,FIRSTTIME_AC,DUCT_NUM_ZONES,DUCT_PERC_RIGIDMETAL,CITY,STATE,ZIP,Air Handler Watts,Motor Type,Furnace Input Capacity - High Fire (Btu/hr),Furnace Output Capacity - High Fire (Btu/hr),Furnace Input Capacity - Low Fire (Btu/hr),Furnace Output Capacity - Low Fire (Btu/hr),Blower Hp,Heating Setpoint (deg F),Cooling Setpoint (deg F),Sup. press. filter in place (Pa),Sup. press. TF in place (Pa),Filter pressure drop - fan only (Pa),Filter pressure drop - fan-only (in w.c.),ESP Post Coil - fan only(Pa),ESP Post Coil - fan-only (in w.c.),Supp. Press. Filter and TF ,TF CFM
28,H3,0.40,,0.40,0,#DIV/0!,Hewett 2010,,NO,YES,,49,0.20,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,H3,0.44,,0.44,0,#DIV/0!,Hewett 2010,,NO,YES,,60,0.24,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,H3,0.48,,0.48,0,#DIV/0!,Hewett 2010,,NO,YES,,68,0.27,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,H3,0.70,,0.70,0,#DIV/0!,Hewett 2010,,NO,NO,,70,0.28,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,H3,0.71,,0.71,0,#DIV/0!,Hewett 2010,,NO,NO,,72,0.29,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,H3,0.52,,0.52,0,#DIV/0!,Hewett 2010,,NO,YES,,78,0.31,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,H3,0.52,,0.52,0,#DIV/0!,Hewett 2010,,NO,YES,,78,0.31,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,H3,0.73,,0.73,0,#DIV/0!,Hewett 2010,,NO,NO,,78,0.31,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,H3,0.54,,0.54,0,#DIV/0!,Hewett 2010,,NO,YES,,85,0.34,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,H3,0.76,,0.76,0,#DIV/0!,Hewett 2010,,NO,NO,,86,0.35,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,H3,0.55,,0.55,0,#DIV/0!,Hewett 2010,,NO,YES,,86,0.35,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,H3,0.56,,0.56,0,#DIV/0!,Hewett 2010,,NO,YES,,90,0.36,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,H3,0.56,,0.56,0,#DIV/0!,Hewett 2010,,NO,YES,,90,0.36,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,H3,0.57,,0.57,0,#DIV/0!,Hewett 2010,,NO,YES,,92,0.37,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,H3,0.58,,0.58,0,#DIV/0!,Hewett 2010,,NO,YES,,95,0.38,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,H3,0.59,,0.59,0,#DIV/0!,Hewett 2010,,NO,YES,,96,0.39,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,H3,0.59,,0.59,0,#DIV/0!,Hewett 2010,,NO,YES,,97,0.39,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,H3,0.60,,0.60,0,#DIV/0!,Hewett 2010,,NO,YES,,100,0.40,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,H3,0.61,,0.61,0,#DIV/0!,Hewett 2010,,NO,YES,,101,0.41,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,H3,0.61,,0.61,0,#DIV/0!,Hewett 2010,,NO,YES,,101,0.41,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,H3,0.82,,0.82,0,#DIV/0!,Hewett 2010,,NO,NO,,101,0.41,,,,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,H3,0.63,,0.63,0,#DIV/0!,Hewett 2010,,NO,YES,,106,0.43,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,H3,0.63,,0.63,0,#DIV/0!,Hewett 2010,,NO,YES,,107,0.43,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,H3,0.86,,0.86,0,#DIV/0!,Hewett 2010,,NO,NO,,109,0.44,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,H3,0.65,,0.65,0,#DIV/0!,Hewett 2010,,NO,YES,,111,0.45,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,H3,0.66,,0.66,0,#DIV/0!,Hewett 2010,,NO,YES,,113,0.45,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,H3,0.66,,0.66,0,#DIV/0!,Hewett 2010,,NO,YES,,114,0.46,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,H3,0.66,,0.66,0,#DIV/0!,Hewett 2010,,NO,YES,,114,0.46,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,H3,0.66,,0.66,0,#DIV/0!,Hewett 2010,,NO,YES,,115,0.46,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,H3,0.67,,0.67,0,#DIV/0!,Hewett 2010,,NO,YES,,116,0.46,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,H3,0.67,,0.67,0,#DIV/0!,Hewett 2010,,NO,YES,,116,0.47,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,H3,0.67,,0.67,0,#DIV/0!,Hewett 2010,,NO,YES,,117,0.47,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,H3,0.68,,0.68,0,#DIV/0!,Hewett 2010,,NO,YES,,118,0.47,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,H3,0.68,,0.68,0,#DIV/0!,Hewett 2010,,NO,YES,,119,0.48,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,H3,0.68,,0.68,0,#DIV/0!,Hewett 2010,,NO,YES,,119,0.48,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,H3,0.69,,0.69,0,#DIV/0!,Hewett 2010,,NO,YES,,121,0.49,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,H3,0.69,,0.69,0,#DIV/0!,Hewett 2010,,NO,YES,,121,0.49,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,H3,0.69,,0.69,0,#DIV/0!,Hewett 2010,,NO,YES,,122,0.49,,,,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,H3,0.70,,0.70,0,#DIV/0!,Hewett 2010,,NO,YES,,123,0.49,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,H3,0.70,,0.70,0,#DIV/0!,Hewett 2010,,NO,YES,,123,0.49,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,H3,0.70,,0.70,0,#DIV/0!,Hewett 2010,,NO,YES,,124,0.50,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,H3,0.70,,0.70,0,#DIV/0!,Hewett 2010,,NO,YES,,125,0.50,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,H3,0.71,,0.71,0,#DIV/0!,Hewett 2010,,NO,YES,,127,0.51,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H3,0.93,,0.93,0,#DIV/0!,Hewett 2010,,NO,NO,,127,0.51,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,H3,0.72,,0.72,0,#DIV/0!,Hewett 2010,,NO,YES,,128,0.51,,,,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,H3,0.72,,0.72,0,#DIV/0!,Hewett 2010,,NO,YES,,130,0.52,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,H3,0.72,,0.72,0,#DIV/0!,Hewett 2010,,NO,YES,,130,0.52,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,H3,0.73,,0.73,0,#DIV/0!,Hewett 2010,,NO,YES,,132,0.53,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,H3,0.76,,0.76,0,#DIV/0!,Hewett 2010,,NO,YES,,139,0.56,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,H3,0.77,,0.77,0,#DIV/0!,Hewett 2010,,NO,YES,,142,0.57,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,H3,0.99,,0.99,0,#DIV/0!,Hewett 2010,,NO,NO,,143,0.57,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,H3,0.79,,0.79,0,#DIV/0!,Hewett 2010,,NO,YES,,146,0.59,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,H3,1.01,,1.01,0,#DIV/0!,Hewett 2010,,NO,NO,,147,0.59,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H3,0.79,,0.79,0,#DIV/0!,Hewett 2010,,NO,YES,,147,0.59,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,H3,0.80,,0.80,0,#DIV/0!,Hewett 2010,,NO,YES,,148,0.59,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,H3,0.81,,0.81,0,#DIV/0!,Hewett 2010,,NO,YES,,152,0.61,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,H3,0.81,,0.81,0,#DIV/0!,Hewett 2010,,NO,YES,,152,0.61,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,H3,1.03,,1.03,0,#DIV/0!,Hewett 2010,,NO,NO,,152,0.61,,,,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,H3,1.04,,1.04,0,#DIV/0!,Hewett 2010,,NO,NO,,154,0.62,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,H3,0.83,,0.83,0,#DIV/0!,Hewett 2010,,NO,YES,,157,0.63,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,H3,0.84,,0.84,0,#DIV/0!,Hewett 2010,,NO,YES,,158,0.64,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,H3,0.84,,0.84,0,#DIV/0!,Hewett 2010,,NO,YES,,160,0.64,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,H3,0.86,,0.86,0,#DIV/0!,Hewett 2010,,NO,YES,,163,0.66,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,H3,0.87,,0.87,0,#DIV/0!,Hewett 2010,,NO,YES,,166,0.67,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,H3,1.13,,1.13,0,#DIV/0!,Hewett 2010,,NO,NO,,177,0.71,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,H3,0.92,,0.92,0,#DIV/0!,Hewett 2010,,NO,YES,,180,0.72,,,,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,H3,0.92,,0.92,0,#DIV/0!,Hewett 2010,,NO,YES,,180,0.72,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,H3,0.93,,0.93,0,#DIV/0!,Hewett 2010,,NO,YES,,182,0.73,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,H3,0.94,,0.94,0,#DIV/0!,Hewett 2010,,NO,YES,,182,0.73,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,H3,0.96,,0.96,0,#DIV/0!,Hewett 2010,,NO,YES,,188,0.76,,,,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,H3,0.97,,0.97,0,#DIV/0!,Hewett 2010,,NO,YES,,192,0.77,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,H3,1.21,,1.21,0,#DIV/0!,Hewett 2010,,NO,NO,,197,0.79,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,H3,1.01,,1.01,0,#DIV/0!,Hewett 2010,,NO,YES,,200,0.80,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,H3,1.01,,1.01,0,#DIV/0!,Hewett 2010,,NO,YES,,201,0.81,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,H3,1.05,,1.05,0,#DIV/0!,Hewett 2010,,NO,YES,,210,0.84,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,H3,1.05,,1.05,0,#DIV/0!,Hewett 2010,,NO,YES,,211,0.85,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,H3,1.09,,1.09,0,#DIV/0!,Hewett 2010,,NO,YES,,221,0.89,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,H3,1.10,,1.10,0,#DIV/0!,Hewett 2010,,NO,YES,,224,0.90,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,H3,1.39,,1.39,0,#DIV/0!,Hewett 2010,,NO,YES,,296,1.19,,,Furnace,Y,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,H3,2.18,,0.00,0,#DIV/0!,Hewett 2010,,NO,YES,,493,1.98,,,Furnace,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3B,H4,0.66,1084,0.66,1084,5.65E-07,Chitwood 2005 Data,,NO,NO,,693,0.25,,2485,,,California,,1084,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2A,H4,0.46,860,0.46,860,6.19E-07,Chitwood 2005 Data,,NO,YES,,729,0.26,,2425,,,California,,860,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,H4,0.51,903,0.51,903,6.21E-07,Chitwood 2005 Data,,NO,YES,,685,0.30,,800,,,California,,903,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H4,0.55,901,0.55,901,6.73E-07,Chitwood 2005 Data,,NO,YES,,647,0.34,,1712,,,California,,901,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,H4,0.57,1783,0.57,1783,1.79E-07,Chitwood 2005 Data,,NO,YES,,1164,0.37,,2566,,,California,,1783,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,H4,0.80,1408,0.80,1408,4.02E-07,Chitwood 2005 Data,,NO,NO,,1125,0.38,,1657,,,California,,1408,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B,H4,0.63,831,0.63,831,9.13E-07,Chitwood 2005 Data,,NO,YES,,711,0.43,,2425,,,California,,831,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,H4,0.92,1113,0.92,1113,7.46E-07,Chitwood 2005 Data,,NO,NO,,950,0.51,,1411,,,California,,1113,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,H4,0.94,1068,0.94,1068,8.25E-07,Chitwood 2005 Data,,NO,NO,,1028,0.52,,1100,,,California,,1068,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,H4,0.95,1069,0.95,1069,8.33E-07,Chitwood 2005 Data,,NO,NO,,905,0.54,,1650,,,California,,1069,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,H4,0.74,1113,0.74,1113,5.97E-07,Chitwood 2005 Data,,NO,YES,,926,0.54,,1400,,,California,,1113,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,H4,0.75,1145,0.75,1145,5.71E-07,Chitwood 2005 Data,,NO,YES,,1048,0.55,,1100,,,California,,1145,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,H4,0.75,1146,0.75,1146,5.74E-07,Chitwood 2005 Data,,NO,YES,,954,0.55,,1500,,,California,,1146,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,H4,0.56,1252,0.56,1252,3.57E-07,Chitwood 2005 Data,,YES,YES,,553,0.56,,1800,,,California,,1252,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,H4,0.77,1197,0.77,1197,5.36E-07,Chitwood 2005 Data,,NO,YES,,1089,0.57,,2000,,,California,,1197,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,H4,1.02,1426,1.02,1426,5.03E-07,Chitwood 2005 Data,,NO,NO,,1192,0.60,,1821,,,California,,1426,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,H4,0.81,1470,0.81,1470,3.74E-07,Chitwood 2005 Data,,NO,YES,,1281,0.61,,1500,,,California,,1470,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,H4,0.83,1324,0.83,1324,4.73E-07,Chitwood 2005 Data,,NO,YES,,1134,0.63,,1750,,,California,,1324,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,H4,0.83,1185,0.83,1185,5.91E-07,Chitwood 2005 Data,,NO,YES,,1119,0.63,,1721,,,California,,1185,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,H4,0.63,1720,0.63,1720,2.13E-07,Chitwood 2005 Data,,YES,YES,,1374,0.63,,2175,,,California,,1720,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13A,H4,0.85,2004,0.85,2004,2.13E-07,Chitwood 2005 Data,,NO,YES,,1791,0.65,,2486,,,California,,2004,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17A,H4,0.66,2100,0.66,2100,1.50E-07,Chitwood 2005 Data,,YES,YES,,1124,0.66,,2100,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,H4,0.67,1846,0.67,1846,1.95E-07,Chitwood 2005 Data,,YES,YES,,1549,0.67,,1662,,,California,,1846,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24A,H4,0.87,1033,0.87,1033,8.16E-07,Chitwood 2005 Data,,NO,YES,,953,0.67,,1430,,,California,,1033,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16A,H4,0.87,1646,0.87,1646,3.22E-07,Chitwood 2005 Data,,NO,YES,,1524,0.67,,4100,,,California,,1646,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,H4,0.89,1792,0.89,1792,2.76E-07,Chitwood 2005 Data,,NO,YES,,1575,0.68,,2122,,,California,,1792,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,H4,0.89,1189,0.89,1189,6.28E-07,Chitwood 2005 Data,,NO,YES,,1037,0.69,,1580,,,California,,1189,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15A,H4,1.11,1947,1.11,1947,2.92E-07,Chitwood 2005 Data,,NO,NO,,1787,0.69,,3672,,,California,,1947,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,H4,1.12,1563,1.12,1563,4.57E-07,Chitwood 2005 Data,,NO,NO,,1296,0.70,,1946,,,California,,1563,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,H4,1.12,1275,1.12,1275,6.87E-07,Chitwood 2005 Data,,NO,NO,,1196,0.70,,1587,,,California,,1275,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,H4,0.91,1240,0.91,1240,5.92E-07,Chitwood 2005 Data,,NO,YES,,1123,0.71,,1580,,,California,,1240,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,H4,0.91,1846,0.91,1846,2.67E-07,Chitwood 2005 Data,,NO,YES,,1642,0.71,,2188,,,California,,1846,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,H4,0.73,1667,0.73,1667,2.61E-07,Chitwood 2005 Data,,YES,YES,,1351,0.73,,1938,,,California,,1667,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22A,H4,0.94,955,0.94,955,1.04E-06,Chitwood 2005 Data,,NO,YES,,837,0.74,,1715,,,California,,955,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,H4,0.95,1371,0.95,1371,5.06E-07,Chitwood 2005 Data,,NO,YES,,1267,0.75,,2340,,,California,,1371,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22B,H4,1.19,990,1.19,990,1.22E-06,Chitwood 2005 Data,,NO,NO,,856,0.78,,1715,,,California,,990,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16B,H4,0.99,1541,0.99,1541,4.16E-07,Chitwood 2005 Data,,NO,YES,,1432,0.79,,4100,,,California,,1541,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,H4,0.99,1083,0.99,1083,8.46E-07,Chitwood 2005 Data,,NO,YES,,1049,0.79,,1000,,,California,,1083,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,H4,1.01,1528,1.01,1528,4.34E-07,Chitwood 2005 Data,,NO,YES,,1405,0.81,,1500,,,California,,1528,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,H4,1.02,865,1.02,865,1.36E-06,Chitwood 2005 Data,,NO,YES,,865,0.82,,1000,,,California,,865,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,H4,1.04,1203,1.04,1203,7.16E-07,Chitwood 2005 Data,,NO,YES,,1162,0.83,,1385,,,California,,1203,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17B,H4,1.25,2100,1.25,2100,2.84E-07,Chitwood 2005 Data,,NO,NO,,1006,0.84,,2100,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
