SiteID,StudyID,Adjusted ESP with Coil (IWC),Furnace Fan Est. Airflow (CFM),Adjusted ESP with Coil (IWC) - All values,Furnace Fan Est. Airflow (CFM) All Values,Calculated alpha,Report ,Household Type,ESP Includes COIL,ESP Includes FILTER,Test Mode,Static Pressure (pascal),Static Pressure (in w. c.),Area (Sqft),Heated Floor Area (sqft),Heating Equipment Type,Cooling Equipment Type,State/Location,Comment,Air Handler Flow (CFM),Air Handler Flow (in w.c.),Pre-Retrofit (in w.c.),Post-Retrofit (in w.c.),Equipment Airflow Check (CFM),Capacity (Btu/hr),Total CFM,Filter pressure drop (Pa),Filter pressure drop (in w.c.),AC coil pressure drop (in w.c.),Supply plenum pressure wrt basement,ESP Post Coil (Pa),ESP Post Coil (in w.c.),a = P/Q2,AC tonnage,Furnace Location,"Location 1=attic, 2=basement, 3=closet, 4=outside, 5=garage",HOUSE_AGE,Construction,DUCTWORK_NEW,FURNACE_INSTALLED_WAC,FIRSTTIME_AC,DUCT_NUM_ZONES,DUCT_PERC_RIGIDMETAL,CITY,STATE,ZIP,Air Handler Watts,Motor Type,Furnace Input Capacity - High Fire (Btu/hr),Furnace Output Capacity - High Fire (Btu/hr),Furnace Input Capacity - Low Fire (Btu/hr),Furnace Output Capacity - Low Fire (Btu/hr),Blower Hp,Heating Setpoint (deg F),Cooling Setpoint (deg F),Sup. press. filter in place (Pa),Sup. press. TF in place (Pa),Filter pressure drop - fan only (Pa),Filter pressure drop - fan-only (in w.c.),ESP Post Coil - fan only(Pa),ESP Post Coil - fan-only (in w.c.),Supp. Press. Filter and TF ,TF CFM
27,2,0.63,1550000,0.63,0,#DIV/0!,Blasnik et al. 1996,Single Family,YES,YES,,157.7,0.63,,,,,"Phoenix, AZ",,,,,,,,"1,550,000",,,,,,,4.0886E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,0.87,1645000,0.87,0,#DIV/0!,Blasnik et al. 1996,Single Family,NO,YES,,167,0.67,,,,,"Phoenix, AZ",,,,,,,,"1,645,000",,,,,,,4.07967E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,1.08,1292000,1.08,0,#DIV/0!,Blasnik et al. 1996,Single Family,NO,YES,,217.4,0.87,,,,,"Phoenix, AZ",,,,,,,,"1,292,000",,,,,,,6.76195E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0.66,1299000,0.66,0,#DIV/0!,Blasnik et al. 1996  ,Single Family,NO,YES,,115,0.46,,,,,"Phoenix, AZ",,,,,,,,"1,299,000",,,,,,,3.55765E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.59,1052000,0.59,0,#DIV/0!,Blasnik et al. 1996  ,Single Family,YES,YES,,147.5,0.59,,,,,"Phoenix, AZ",,,,,,,,"1,052,000",,,,,,,5.63444E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS1,3,0.69,602,0.69,602,1.90E-06,Parker 1997,Single Family,NO,NO,,67.2,0.27,,,,,Florida,,,,,,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS2,3,0.77,645,0.77,645,1.84E-06,Parker 1997,Single Family,NO,NO,,87.1,0.35,,,,,Florida,,,,,,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV1*,3,0.56,745,0.56,745,1.01E-06,Parker 1997,Single Family,NO,YES,,89.6,0.36,,,,,Florida,,,,,,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1,3,0.65,918,0.65,918,7.74E-07,Parker 1997,Single Family,NO,YES,,112.0,0.45,,,,,Florida,,,,,,918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB1,3,0.69,1010,0.69,1010,6.79E-07,Parker 1997,Single Family,NO,YES,,121.9,0.49,,,,,Florida,,,,,,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
